Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Pete Crow-Armstrong,CHC,144.0,645.0,40.0,106.0,96.0,33.0,0.116279069,0.262015503,0.292418773,0.329512893,0.279783393,0.374223602,0.572202166,0.401182142731538,0.37117157701046166,157.29308291620458,5.882516771554947,50.4933931378457,23.1447491645813,9.630502060001,Pete Crow-Armstrong,27769,691718
Bobby Witt Jr.,KCR,125.0,553.0,17.0,82.0,51.0,38.0,0.106690777,0.171790235,0.170081967,0.321052631,0.284836065,0.361663652,0.454918032,0.35302989209463836,0.3851993136935764,124.88508258824402,7.346468187868595,23.303839606769763,21.25441884994507,6.5308073482947595,Bobby Witt Jr.,25764,677951
Yordan Alvarez,HOU,142.0,623.0,38.0,94.0,95.0,1.0,0.158908507,0.174959871,0.284872299,0.332425068,0.314341846,0.431781701,0.599214145,0.42701638550371734,0.44716412426053165,179.90580675961883,-4.525328549556434,53.19961584904898,-16.23734951019287,6.009515302286513,Yordan Alvarez,19556,670541
Elly De La Cruz,CIN,124.0,556.0,23.0,86.0,66.0,24.0,0.10971223,0.271582733,0.212244898,0.357366771,0.279591836,0.35971223,0.491836734,0.36965912441126736,0.36765626225158243,131.84190388037013,2.4876585132442415,23.860027661252975,8.726951599121094,5.155794008764328,Elly De La Cruz,26668,682829
Ezequiel Duran,TEX,135.0,524.0,17.0,65.0,78.0,11.0,0.078244274,0.232824427,0.179704017,0.336283185,0.276955602,0.336520076,0.456659619,0.3449057291616217,0.30660552978515626,123.72564718281176,0.9499764111824334,15.366033410225503,16.01115596294403,5.08393714172433,Ezequiel Duran,23733,677649
Otto Lopez,MIA,140.0,608.0,10.0,84.0,63.0,30.0,0.052631578,0.128289473,0.1375,0.329192546,0.301785714,0.338815789,0.439285714,0.3375381383260614,0.3239159702269499,111.67582601171621,5.557498494628817,14.127285778324419,14.59748649597168,4.934288476330293,Otto Lopez,19608,672640
Dillon Dingler,DET,132.0,555.0,26.0,66.0,83.0,0.0,0.057657657,0.223423423,0.21314741,0.275280898,0.247011952,0.309222423,0.460159362,0.3337211788886279,0.343036492377141,113.31106200866054,0.2499351529404521,8.816423444530951,18.846543788909912,4.817406597607784,Dillon Dingler,27464,693307
Miguel Vargas,CHW,141.0,623.0,30.0,95.0,79.0,16.0,0.139646869,0.174959871,0.233269598,0.262210796,0.252390057,0.363344051,0.485659655,0.3671715022872294,0.38487010428575963,137.38825598502677,1.703257530927658,28.71299669029976,-5.043441206216812,4.655791685435867,Miguel Vargas,20178,678246
Junior Caminero,TBR,143.0,625.0,38.0,87.0,92.0,3.0,0.1152,0.1856,0.250457038,0.29040404,0.279707495,0.3648,0.530164533,0.37993014296349653,0.36234580354737533,145.51971333391577,-2.5696961749345064,30.4198751056091,-7.167255163192749,4.620539169279009,Junior Caminero,28163,691406
Kevin McGonigle,DET,138.0,622.0,14.0,87.0,59.0,12.0,0.136655948,0.136655948,0.13747646,0.298850574,0.27118644,0.372990353,0.4086629,0.34895518369336825,0.34973215903005295,123.91822919590349,2.9666047343052924,20.217694849763753,2.7505288124084473,4.580764367524077,Kevin McGonigle,33572,805808
Alex Bregman,CHC,141.0,644.0,24.0,84.0,81.0,3.0,0.107142857,0.152173913,0.182468694,0.273137697,0.259391771,0.347826086,0.441860465,0.345994138179167,0.31844200098570347,120.38272087119176,-0.03953431500121951,15.806729160985526,7.292967855930328,4.480385590897655,Alex Bregman,17678,608324
Gabriel Moreno,ARI,113.0,473.0,12.0,59.0,69.0,5.0,0.112050739,0.152219873,0.16953317,0.331325301,0.299754299,0.378435517,0.469287469,0.36932876057151004,0.36542244769157245,133.36682927697353,-1.0614754189737141,17.991154343982746,10.059572458267212,4.419573183293355,Gabriel Moreno,22664,672515
JJ Wetherholt,STL,130.0,586.0,17.0,88.0,48.0,14.0,0.107508532,0.16211604,0.128712871,0.265822784,0.241584158,0.343003412,0.370297029,0.32158981988283053,0.3509570680815598,103.85326689156929,3.458383698016405,6.184256303656193,17.73313879966736,4.3720143548670025,JJ Wetherholt,34985,802139
Brice Turang,MIL,133.0,604.0,17.0,86.0,85.0,18.0,0.125827814,0.253311258,0.16923077,0.329545454,0.25576923,0.350584307,0.425,0.3414044146169752,0.3356672418861325,116.64320638198119,1.335380194708705,13.47074357771949,9.449819326400757,4.329973525794074,Brice Turang,22186,668930
